ell_or_theta,measured_statistic
5.64549465391,1.34127371073e-05
7.10724276693,8.28891355747e-06
8.94838371328,8.83432774023e-06
11.2637007058,7.52422685406e-06
14.1805284413,4.78656591854e-06
17.85308887,6.11915403081e-06
22.473808796,3.7776585328e-06
28.2943073155,5.40922927026e-06
35.6179380076,4.0466381224e-06
44.838797482,2.61128671287e-06
56.4473810902,2.28953314546e-06
71.0592591143,2.14814832806e-06
89.454392419,1.40829761614e-06
112.616606136,9.05440217801e-07
141.764490702,9.66810407276e-07
178.460983744,3.65229135042e-07
224.643588473,6.40824592205e-09
